2024/06/22 22:01:01 [error] 44284#48836: *17786 WSARecv() failed (10054: FormatMessage() error:(15100)) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php?action=wp_1_wc_regenerate_images&nonce=86dd1bd212 HTTP/1.0", upstream: "fastcgi://127.0.0.1:10008", host: "sklep-weze-buckup.local"
2024/06/30 00:00:21 [error] 13212#62940: *44075 WSARecv() failed (10054: FormatMessage() error:(15100)) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/onboarding/tasks?_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10008", host: "sklep-weze-buckup.local", referrer: "http://sklep-weze-buckup.local/wp-admin/post.php?post=1192&action=edit"
2024/06/30 00:00:21 [error] 13212#62940: *44089 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/options?options=launch-status%2Cwoocommerce_coming_soon%2Cwoocommerce_store_pages_only%2Cwoocommerce_private_link%2Cwoocommerce_share_key%2Cwoocommerce_admin_transient_notices_queue%2Cwoocommerce_admin_install_timestamp&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10008", host: "sklep-weze-buckup.local", referrer: "http://sklep-weze-buckup.local/wp-admin/post.php?post=1192&action=edit"
2024/06/30 00:00:22 [error] 13212#62940: *44113 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-analytics/admin/notes?page=1&per_page=25&type=error%2Cupdate&status=unactioned&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10009", host: "sklep-weze-buckup.local", referrer: "http://sklep-weze-buckup.local/wp-admin/post.php?post=1192&action=edit"
2024/06/30 00:00:22 [error] 13212#62940: *44113 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-analytics/admin/notes?page=1&per_page=25&type=error%2Cupdate&status=unactioned&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "sklep-weze-buckup.local", referrer: "http://sklep-weze-buckup.local/wp-admin/post.php?post=1192&action=edit"
2024/06/30 00:00:22 [error] 13212#62940: *44080 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/options?options=woocommerce_ces_tracks_queue&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10009", host: "sklep-weze-buckup.local", referrer: "http://sklep-weze-buckup.local/wp-admin/post.php?post=1192&action=edit"
2024/06/30 00:00:22 [error] 13212#62940: *44080 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/options?options=woocommerce_ces_tracks_queue&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "sklep-weze-buckup.local", referrer: "http://sklep-weze-buckup.local/wp-admin/post.php?post=1192&action=edit"
2024/06/30 00:00:22 [error] 13212#62940: *44075 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/onboarding/tasks?_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10009", host: "sklep-weze-buckup.local", referrer: "http://sklep-weze-buckup.local/wp-admin/post.php?post=1192&action=edit"
2024/06/30 00:00:22 [error] 13212#62940: *44089 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/options?options=launch-status%2Cwoocommerce_coming_soon%2Cwoocommerce_store_pages_only%2Cwoocommerce_private_link%2Cwoocommerce_share_key%2Cwoocommerce_admin_transient_notices_queue%2Cwoocommerce_admin_install_timestamp&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10009", host: "sklep-weze-buckup.local", referrer: "http://sklep-weze-buckup.local/wp-admin/post.php?post=1192&action=edit"
2024/06/30 00:00:22 [error] 13212#62940: *44298 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/onboarding/tasks?_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "sklep-weze-buckup.local", referrer: "http://sklep-weze-buckup.local/wp-admin/post.php?post=1189&action=edit"
2024/06/30 00:00:22 [error] 13212#62940: *44299 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/options?options=woocommerce_ces_tracks_queue&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "sklep-weze-buckup.local", referrer: "http://sklep-weze-buckup.local/wp-admin/post.php?post=1189&action=edit"
2024/06/30 00:00:22 [error] 13212#62940: *44312 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-analytics/admin/notes?page=1&per_page=25&type=error%2Cupdate&status=unactioned&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "sklep-weze-buckup.local", referrer: "http://sklep-weze-buckup.local/wp-admin/post.php?post=1189&action=edit"
